Rank;Name;YearOfBirth;Country;Association;Position;100Match;Rival;Matches(FIFA);Matches(RSSSF);From;To
208;Andreas Herzog;1968;AUT;4;7;20.11.2002;Norwegen;103;103;1988;2003;
208;Hwang Sun-hong;1968;KOR;2;8;18.06.2002;Italien (WM-Achtelfinale);102;103;1988;2002;
208;Kim Källström;1982;SWE;4;7;22.03.2013;Irland;100;103;2001;2013;
208;Konstantinos Katsouranis;1979;GRC;4;7;16.10.2012;Slowakische Republik;101;103;2003;2013;
208;Emad Mohammed;1982;IRQ;2;8;28.05.2012;Botswana;100;103;2001;2013;
208;Stipe Pletikosa;1979;HRV;4;6;06.02.2013;Korea (Süd) Republik;102;103;1999;2013;
208;Indrek Zelinski;1974;EST;4;8;31.03.2004;Nordirland;103;103;1994;2010;
222;Jarah Al Ataiqi;1981;KWT;2;1;06.09.2011;Korea (Süd) Republik;102;101;2001;2011;
222;Marvin Andrews;1975;TTO;1;5;10.06.2009;Mexiko;-1;102;1996;2009;
222;László Bölöni;1953;ROU;4;7;03.02.1988;Israel;101;102;1975;1988;
222;Kenny Dalglish;1951;SCO;4;8;26.03.1986;Rumänien;102;102;1971;1986;
222;Diego Forlán;1979;URY;6;8;20.06.2013;Nigeria (Confed-Cup-Gruppenspiel);-1;102;2002;2013;
222;Steven Gerrard;1980;ENG;4;7;14.11.2012;Schweden;102;102;2000;2013;
222;Martin Jørgensen;1975;DNK;4;7;17.11.2010;Tschechische Republik;102;102;1998;2011;
222;Kasey Keller;1969;USA;1;6;21.06.2007;Kanada (CONCACAF Cup);101;102;1990;2007;
222;Bülent Korkmaz;1968;TUR;4;5;18.08.2004;Belarus;102;102;1990;2005;
222;Savo Milošević;1973;SCG;4;8;16.06.2006;Argentinien (WM Gruppenspiel);102;102;1994;2008;
222;Mohammed Omar;1976;ARE;2;1;11.01.2009;Saudi Arabien;102;102;1996;2009;
222;Andrea Pirlo;1979;ITA;4;7;16.06.2013;Mexiko (Confed-Cup-Gruppenspiel);-1;102;2002;2013;
222;Raúl;1977;ESP;4;8;15.08.2006;Island;102;102;1996;2009;
222;Josip Šimunić;1978;HRV;4;5;06.02.2013;Korea (Süd) Republik;100;102;2001;2013;
222;Dejan Stanković;1978;SCG;4;7;06.09.2011;Färöer;101;102;1998;2011;
222;Steve Staunton;1969;IRL;4;5;05.06.2002;Deutschland (WM-Gruppenspiel);102;102;1988;2002;
222;Michał Żewłakow;1976;POL;4;5;10.10.2010;USA;102;102;1999;2011;
239;Fandi Ahmad;1962;SGP;2;7;16.10.1997;Indonesien;-1;101;1985;1997;
239;Leonel Álvarez;1965;COL;6;7;24.08.1997;Peru;101;101;1985;1997;
239;Oleh Blochin;1952;SUN;4;8;28.10.1987;Island;101;101;1972;1988;
239;Petr Čech;1979;CZE;4;6;26.03.2013;Armenien;100;101;2002;2013;
239;Phillip Cocu;1970;NLD;4;7;21.06.2006;Argentinien (WM Gruppenspiel);101;101;1996;2006;
239;Ulises de la Cruz;1974;ECU;6;5;08.05.2010;Mexiko;101;101;1995;2010;
239;Thomas Häßler;1966;DEU;4;7;12.06.2000;Rumänien (EM-Gruppenspiel);101;101;1988;2000;
239;Alexandr Kulchiy;1973;﻿BLR;4;7;07.06.2012;Litauen;100;101;1996;2012;
239;Carlos Pavón;1973;HND;1;8;16.06.2010;Chile;100;101;1993;2010;
239;Thomas Sørensen;1976;DNK;4;6;29.02.2012;Russland;101;101;1997;2012;
239;Jorge Soto;1971;PER;6;7;09.10.2005;Argentinien;100;101;1992;2005;
239;Earnie Stewart;1969;USA;1;7;20.06.2004;Grenada;100;101;1990;2004;
239;Cláudio Taffarel;1966;BRA;6;6;07.07.1998;Niederlande(WM-Halbfinale);101;101;1988;1998;
239;Harold Wallace;1975;CRI;1;9;23.07.2009;Mexiko (CONCACAF Cup);-1;101;1995;2009;
253;Roberto Acuña;1972;PRY;6;7;11.06.2011;Rumänien;-1;100;1993;2011;
253;Angelos Basinas;1976;GRC;4;7;01.04.2009;Israel;100;100;1999;2009;
253;Henning Berg;1969;NOR;4;7;27.05.2004;Wales;100;100;1992;2004;
253;Baichung Bhutia;1976;IND;2;8;2011;unbekannt;-1;100;1995;2011;
253;Denis Caniza;1974;PRY;6;5;12.08.2010;Costa Rica;100;100;1996;2010;
253;Luis Capurro;1964;ECU;6;7;09.02.2003;Estland;100;100;1985;2003;
253;Damien Duff;1979;IRL;4;7;18.06.2012;Italien (EM-Gruppenspiel);-1;100;1998;2012;
253;Ulf Kirsten;1965;DEU;4;8;20.06.2000;Portugal (EM-Gruppenspiel);100;100;1985;2000;
253;Lewan Kobiaschwili;1977;GEO;4;7;11.10.2011;Griechenland;100;100;1998;2011;
253;Baihakki Khaizan;1984;SGP;2;5;07.06.2013;Laos;-1;100;2003;2013;
253;Lee Dong-gook;1979;KOR;2;4;18.06.2013 (?);Iran (?);-1;100;1998;2013;
253;Tony Meola;1969;USA;1;6;11.04.2006;Jamaika;100;100;1988;2006;
253;Joe-Max Moore;1971;USA;1;8;14.06.2002;Polen (WM-Gruppenspiel);100;100;1992;2002;
253;Nazri Nasir;1971;SGP;2;8;12.07.2004;Malaysia;100;100;1990;2004;
253;Park Ji-sung;1981;KOR;2;8;25.01.2011;Japan;100;100;2000;2011;
253;Carles Puyol;1978;ESP;4;5;06.02.2013;Uruguay;100;100;2000;2013;
253;Goce Sedloski;1974;MKD;4;5;29.05.2010;Aserbaidschan;-1;100;1996;2010;
253;Dario Šimić;1975;HRV;4;5;20.08.2008;Slowenien;100;100;1996;2008;
253;Igors Stepanovs;1976;LVA;4;5;10.08.2011;Finnland;100;100;1995;2011;
253;Elijah Tana;1975;ZMB;3;5;27.01.2009;Südafrika;100;100;1995;2009;
253;Justo Villar;1977;PRY;6;6;07.06.2013;Chile;-1;100;1999;2013;
